Channel 1,Channel 2,Channel 3
89,118,93
89,118,90
93,121,90
93,121,92
96,122,91
101,123,95
100,123,97
105,125,99
103,124,97
105,127,98
104,125,94
100,124,96
97,123,94
99,122,96
89,119,95
90,117,93
88,119,92
90,118,92
91,119,91
92,121,92
96,121,89
100,122,91
100,123,94
103,125,95
104,125,96
102,124,94
104,126,97
103,124,94
101,125,95
95,122,95
93,121,97
92,119,97
92,119,96
88,119,93
90,119,94
91,119,97
94,121,96
96,121,97
101,123,95
102,124,92
104,125,96
104,125,94
104,126,96
103,125,98
100,124,99
100,123,95
96,121,98
94,122,95
91,119,99
92,119,100
90,118,95
90,119,94
96,120,93
95,121,87
99,123,91
100,123,94
102,123,91
102,124,97
105,126,96
102,124,99
101,123,98
98,123,94
95,122,93
93,120,98
92,120,95
89,119,94
93,120,91
91,120,93
89,119,92
93,120,95
96,121,91
99,123,94
97,123,92
103,125,94
106,126,95
102,124,94
102,123,94
105,126,97
99,123,95
98,123,94
97,122,97
91,119,96
92,121,95
89,118,94
92,120,94
94,120,94
92,120,91
96,121,90
101,124,94
98,122,93
103,124,95
104,124,99
105,125,96
103,125,96
101,123,94
99,124,95
97,121,96
93,121,93
93,119,94
93,121,95
87,119,93
92,119,93
91,120,93
95,121,91
99,122,93
100,123,94
102,123,95
103,124,97
106,125,95
103,124,98
101,125,97
101,123,96
99,123,96
96,121,98
92,120,96
91,120,94
91,120,97
88,120,93
89,119,96
91,119,98
96,121,97
98,123,95
100,122,92
102,124,93
104,125,92
102,124,95
105,125,92
103,124,95
99,123,95
97,121,96
95,121,96
91,120,93
93,120,95
88,118,93
89,119,95
91,119,95
91,119,94
96,122,93
99,124,96
101,125,94
103,124,96
105,127,97
104,126,97
102,124,97
101,123,95
99,124,96
98,122,93
93,120,91
90,118,92
90,120,92
88,117,91
92,118,90
94,122,95
96,122,93
102,123,94
105,125,95
104,125,94
112,129,94
110,127,94
108,127,96
103,125,95
96,123,96
94,121,96
89,119,94
86,117,93
83,116,90
83,117,92
86,117,90
86,116,90
94,122,92
95,121,92
103,125,93
103,126,91
107,126,91
109,128,90
108,126,93
105,125,96
99,123,95
98,123,96
94,122,95
91,121,98
84,117,91
82,115,95
86,117,95
86,117,92
92,120,94
94,121,94
98,123,96
106,125,97
106,125,92
107,127,93
109,127,92
108,127,92
103,124,91
100,124,97
94,120,96
91,119,98
88,118,95
85,117,95
86,117,93
83,115,90
88,120,91
94,120,94
97,121,91
102,125,94
103,124,93
106,125,95
111,128,93
108,127,95
106,125,92
103,122,95
96,121,96
91,119,97
91,119,98
86,116,93
84,116,94
85,117,95
84,116,94
86,118,93
93,121,94
97,122,94
104,125,94
105,125,95
109,127,92
109,127,95
108,127,93
105,126,96
103,124,97
95,120,97
89,119,97
90,119,96
87,118,97
86,117,96
86,117,95
88,118,96
88,118,95
92,120,93
99,123,94
105,126,93
105,125,91
110,128,97
113,127,97
110,126,96
106,128,97
100,123,95
93,121,94
91,119,95
87,117,95
83,116,92
83,115,93
83,116,90
86,117,90
93,121,93
96,120,93
103,124,94
108,127,92
107,127,94
112,130,94
112,128,97
108,126,95
105,126,97
97,123,94
93,119,98
95,121,96
85,116,95
84,116,95
85,116,95
83,116,91
88,117,93
92,119,94
99,123,94
104,125,94
108,127,94
108,128,95
110,129,98
107,127,94
107,126,96
103,125,102
97,123,97
93,120,96
88,117,95
83,116,94
83,116,93
85,117,92
88,117,91
90,119,94
92,120,91
98,122,92
105,124,95
106,127,95
108,125,92
109,126,95
110,129,100
107,127,98
100,124,97
96,121,101
90,120,97
84,116,95
83,116,92
84,117,92
84,116,94
89,118,95
94,121,94
97,122,95
101,124,94
105,125,90
106,125,94
109,128,92
109,128,96
107,126,98
103,125,96
99,121,94
92,119,99
90,119,99
87,117,93
83,116,96
87,116,96
85,115,92
90,119,92
96,120,90
99,123,93
105,125,92
104,126,92
110,127,92
111,129,97
107,127,98
106,126,96
103,125,96
98,123,95
95,120,96
91,119,95
83,116,93
84,115,94
83,116,90
87,118,90
91,120,92
96,122,92
100,123,91
107,126,93
108,125,97
110,128,95
110,129,98
108,126,99
105,126,95
99,123,95
94,120,94
93,121,98
85,117,94
83,117,90
86,117,94
87,117,93
87,118,89
93,121,92
99,123,92
100,122,92
105,125,94
108,127,92
110,127,93
108,126,96
106,125,95
103,124,96
96,121,97
93,120,96
95,121,97
87,117,94
91,119,95
89,118,95
91,119,93
89,120,94
92,121,94
94,120,92
97,122,95
99,123,91
103,125,96
105,125,94
103,123,95
104,126,96
103,125,100
99,121,98
99,123,98
93,122,96
92,119,94
93,121,96
91,119,90
91,118,87
92,121,92
95,121,89
94,121,93
100,123,97
102,125,94
104,127,96
104,125,94
104,123,93
102,124,96
102,124,97
99,123,96
97,121,97
92,119,93
91,119,95
89,119,93
89,118,92
92,120,92
91,119,93
93,120,94
95,122,91
98,122,93
100,122,96
103,125,97
104,126,97
103,124,93
106,127,98
99,123,95
98,121,98
96,121,98
92,120,96
92,121,97
89,119,95
91,120,92
91,120,91
92,120,90
95,121,92
98,122,92
97,123,92
101,124,92
104,125,96
105,126,96
105,126,98
104,124,96
99,123,97
97,122,97
93,120,98
89,119,96
91,120,92
91,120,92
89,119,94
93,120,93
92,120,92
100,123,93
104,125,95
105,126,96
108,126,97
105,125,98
102,125,95
101,124,97
99,123,96
93,120,93
91,120,94
87,119,93
89,118,95
91,119,94
91,119,93
91,119,92
95,121,94
97,123,93
98,122,91
100,122,93
101,123,95
106,127,96
103,125,96
105,125,98
106,127,99
99,122,100
97,121,98
99,122,99
91,121,92
93,120,93
91,121,90
92,120,90
89,119,88
94,120,90
92,120,90
99,123,95
99,121,94
103,125,93
105,127,93
104,125,100
101,123,98
102,125,100
100,124,97
99,123,96
93,121,95
93,120,96
92,120,95
87,117,91
90,118,92
90,120,91
92,119,90
94,120,92
99,123,95
97,122,91
101,124,93
105,125,95
106,125,97
101,123,97
103,125,97
100,123,96
96,120,98
91,119,96
92,119,95
92,120,97
89,119,92
90,119,91
91,120,90
95,121,92
97,122,94
99,124,95
101,123,93
101,124,94
103,125,97
100,123,96
102,123,98
99,121,99
99,121,96
97,121,98
90,118,96
91,120,94
87,118,91
89,119,91
88,117,92
91,120,91
93,120,91
95,121,92
97,122,93
97,122,93
103,125,96
101,124,99
102,125,98
104,126,103
100,122,97
96,121,97
94,121,99
91,122,94
92,120,96
90,118,92
89,119,92
91,119,95
90,119,93
94,121,94
98,121,91
99,122,90
102,124,93
100,123,94
105,124,95
101,124,96
102,125,97
96,121,95
96,121,97
89,120,95
87,117,94
90,119,96
86,117,93
89,119,93
93,120,90
94,121,92
98,122,94
96,122,96
99,122,94
101,124,96
104,125,99
102,123,98
103,125,98
97,124,93
95,122,96
94,120,95
91,119,95
89,118,96
88,118,93
90,119,93
88,118,91
91,118,93
92,119,92
98,123,94
96,122,93
99,123,94
105,125,96
103,125,98
99,123,98
103,125,102
100,123,102
96,122,98
92,120,97
89,119,90
87,118,91
84,117,91
86,117,90
91,119,93
91,119,92
95,121,93
97,122,98
98,122,94
100,123,98
100,124,97
101,124,97
102,126,99
101,125,100
98,123,99
94,119,95
89,121,94
91,119,97
90,119,95
86,117,90
88,118,90
91,120,94
94,121,93
94,121,91
96,121,93
99,123,93
102,124,94
101,121,95
102,123,93
103,125,96
99,124,97
95,120,97
95,121,98
92,120,95
91,119,92
86,116,92
87,117,91
88,119,95
91,119,93
94,120,93
98,124,95
99,122,96
97,123,96
102,123,97
103,126,98
103,125,99
101,123,99
98,122,95
94,122,95
91,120,96
91,119,96
91,120,94
89,119,91
90,120,91
91,121,94
89,119,89
92,120,94
98,122,94
99,123,97
101,124,94
101,124,95
102,125,95
102,124,96
101,123,98
94,120,97
97,122,98
90,119,96
88,118,94
90,121,93
90,120,92
89,118,93
92,121,92
91,119,95
96,120,92
99,124,93
101,123,95
104,124,94
103,124,95
99,122,98
101,124,97
99,122,99
94,121,99
98,122,97
90,118,93
90,119,91
89,119,94
90,119,94
91,120,95
91,120,93
95,122,97
99,122,97
96,121,94
101,124,94
101,124,95
101,124,96
100,123,95
102,125,96
98,123,95
95,122,95
95,121,97
90,120,95
92,119,97
89,119,92
88,118,91
93,121,93
93,119,92
93,119,94
98,121,96
97,121,95
100,123,99
99,123,97
100,122,98
100,123,100
101,124,96
97,123,97
95,121,98
90,119,92
88,120,91
90,119,94
89,119,90
91,120,92
90,119,95
93,121,95
96,121,96
100,123,100
101,124,96
104,124,92
101,123,93
103,124,96
101,124,95
99,124,97
97,122,102
94,119,103
91,121,103
89,119,102
85,116,97
87,117,92
93,120,87
93,119,89
92,119,86
97,122,92
100,123,94
104,125,96
105,127,94
102,124,98
104,125,99
101,123,99
98,122,101
95,121,108
91,119,107
90,119,111
87,118,111
85,118,103
89,119,100
91,119,85
91,120,85
97,121,85
98,122,85
98,123,88
102,124,90
103,125,92
106,127,94
102,124,94
