Channel 1,Channel 2,Channel 3
107,127,97
107,127,95
110,128,92
110,127,97
110,128,94
107,127,96
104,125,94
104,126,100
101,125,100
98,121,100
100,123,99
95,121,103
98,122,105
101,124,99
104,125,99
105,126,97
110,127,96
109,128,94
111,127,93
109,128,91
110,128,94
110,127,92
108,127,98
107,126,96
104,125,96
100,123,97
97,122,99
99,123,102
96,121,103
100,123,103
105,126,100
104,125,96
107,126,96
109,128,94
112,128,94
113,130,94
109,127,93
112,130,95
111,129,91
109,127,100
107,127,100
105,125,96
101,124,99
99,123,98
96,123,101
97,122,104
102,124,99
105,126,100
107,126,95
110,129,94
109,127,94
112,128,93
112,129,90
112,128,96
111,128,93
113,128,97
108,126,98
107,128,97
104,125,100
99,122,100
99,123,97
100,123,103
101,123,102
105,126,100
107,127,101
107,126,95
111,129,94
113,130,96
114,129,95
112,127,90
114,130,97
115,130,90
108,126,96
108,127,98
106,125,96
101,125,99
100,122,102
100,123,100
102,123,104
100,123,102
107,127,99
106,125,97
111,129,94
111,129,95
113,130,93
114,128,91
114,129,92
115,131,95
115,130,95
111,128,97
109,125,97
109,127,93
103,126,99
103,125,98
99,123,104
104,124,101
103,125,100
108,127,102
107,126,97
112,129,95
111,128,95
113,129,95
114,128,91
114,130,96
114,129,94
115,131,96
109,127,98
110,128,97
104,123,100
101,123,100
101,125,98
100,123,104
101,123,104
108,128,98
109,128,100
109,126,97
114,129,95
113,129,96
115,129,95
113,129,93
114,130,95
115,131,93
113,130,96
111,128,98
107,125,96
102,124,100
101,124,101
102,124,98
103,125,106
104,124,101
105,126,100
107,126,101
109,127,96
112,128,97
113,129,97
115,129,92
113,129,95
114,128,97
114,130,93
110,127,99
109,127,97
105,126,95
101,124,99
101,123,100
100,123,102
102,124,107
104,125,103
105,126,103
109,127,100
113,129,96
113,129,96
115,130,93
118,131,91
117,131,95
113,130,95
114,130,95
109,128,96
107,127,101
103,123,99
100,123,99
101,123,100
101,124,105
100,124,104
109,128,98
106,126,101
110,127,95
112,129,93
114,129,95
116,131,95
113,129,91
115,130,98
113,130,91
109,127,97
109,128,99
109,129,99
99,123,103
102,126,104
105,125,103
102,125,103
105,126,101
105,126,99
109,128,99
113,129,95
112,128,95
116,131,93
117,131,92
116,130,92
114,130,97
114,130,92
111,127,99
108,127,99
109,127,95
100,124,103
102,124,100
100,123,102
103,123,105
106,125,102
107,126,102
109,127,97
115,130,95
112,129,96
113,130,94
117,130,91
117,131,96
115,131,94
115,130,96
110,127,99
107,127,101
104,124,98
105,126,103
102,124,100
103,125,104
101,125,102
106,125,98
105,124,100
109,129,96
113,130,95
115,130,95
114,129,94
116,130,90
114,128,95
115,132,92
111,128,96
109,127,95
104,125,97
104,125,103
104,125,100
103,124,99
103,123,103
100,123,103
107,125,99
106,124,99
112,129,95
113,128,96
115,129,94
118,132,95
117,132,94
115,130,93
113,129,92
111,129,99
111,129,98
109,127,97
102,123,100
104,125,101
104,124,101
104,125,105
104,125,100
104,125,100
109,127,96
111,128,93
110,127,97
111,128,94
114,128,91
115,131,97
114,129,94
114,130,99
107,127,96
107,127,99
